127.0.0.1 - - [12/Oct/2023:16:39:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:39:32 +0530] "GET /Brand HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:39:33 +0530] "GET /Brand/ HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:39:36 +0530] "GET /Brand/login.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:14 +0530] "GET /Brand/login.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:17 +0530] "GET /Brand/login.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:25 +0530] "GET /Brand/ HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:25 +0530] "GET /Brand/ HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:25 +0530] "GET /Brand/ HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:26 +0530] "GET /Brand/ HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:27 +0530] "GET /Brand/product.jsp HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:40:54 +0530] "POST /Brand/flipkart HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:41:13 +0530] "POST /Brand/flipkart HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:44:50 +0530] "GET /Brand HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:44:50 +0530] "GET /Brand/ HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:44:52 +0530] "GET /Brand/product.jsp HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:45:08 +0530] "POST /Brand/flipkart HTTP/1.1" 500 1409
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:45:15 +0530] "POST /Brand/flipkart HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:46:47 +0530] "POST /Brand/flipkart HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [12/Oct/2023:17:03:01 +0530] "GET /Brand/product.jsp HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [12/Oct/2023:17:08:04 +0530] "POST /Brand/flipkart HTTP/1.1" 200 2714
